,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,90,US,1584401193,45,42.1,-79.24,46.99,13.87
1,buala,64,SB,1584401420,67,-8.14,159.59,84.6,5.35
2,castro,50,BR,1584401420,97,-24.79,-50.01,66.02,7.36
3,pangnirtung,90,CA,1584401420,76,66.15,-65.71,-4.0,4.7
4,bredasdorp,40,ZA,1584401420,77,-34.53,20.04,66.99,16.11
5,ilulissat,99,GL,1584401421,53,69.22,-51.1,-5.8,14.99
6,bacolod,43,PH,1584401392,53,10.67,122.95,79.34,1.48
7,georgetown,20,MY,1584401421,58,5.41,100.34,82.4,9.17
8,onguday,100,RU,1584401421,56,50.75,86.15,25.41,4.52
9,lompoc,90,US,1584401421,81,34.64,-120.46,50.0,10.63
10,severo-kurilsk,97,RU,1584401421,81,50.68,156.12,22.42,3.0
11,barrow,90,US,1584401421,92,71.29,-156.79,10.4,8.05
12,port alfred,19,ZA,1584401421,84,-33.59,26.89,63.0,1.01
13,port elizabeth,57,ZA,1584401421,77,-33.92,25.57,66.2,21.92
14,kill,100,IE,1584401421,97,52.18,-7.33,50.0,1.01
15,kapaa,90,US,1584401421,100,22.08,-159.32,71.6,14.99
16,east london,57,ZA,1584401421,73,-33.02,27.91,68.36,20.8
17,gorontalo,51,ID,1584401178,68,0.54,123.06,79.3,3.31
18,port-cartier,20,CA,1584401422,56,50.03,-66.87,15.8,4.7
19,mataura,71,NZ,1584401422,77,-46.19,168.86,54.0,1.99
20,thompson,75,CA,1584401422,78,55.74,-97.86,12.2,10.29
21,vestmannaeyjar,100,IS,1584401422,81,63.44,-20.27,40.41,19.13
22,banda aceh,100,ID,1584401422,89,5.56,95.32,75.11,5.01
23,coquimbo,75,CL,1584401422,82,-29.95,-71.34,60.8,8.05
24,ushuaia,20,AR,1584401422,61,-54.8,-68.3,48.2,32.21
25,hambantota,60,LK,1584401422,82,6.12,81.12,80.69,20.54
26,naryan-mar,100,RU,1584401422,93,67.67,53.09,29.98,22.3
27,hasaki,20,JP,1584401423,44,35.73,140.83,43.0,2.24
28,kavieng,77,PG,1584401423,72,-2.57,150.8,84.4,8.46
29,asfi,0,MA,1584401423,82,32.3,-9.24,46.4,8.63
30,san quintin,78,MX,1584401423,63,30.48,-115.95,59.05,8.03
31,luena,95,AO,1584401423,91,-11.78,19.92,62.71,2.57
32,livingstonia,100,MW,1584401423,96,-10.61,34.11,60.37,4.07
33,saint-philippe,75,RE,1584401423,88,-21.36,55.77,75.2,6.93
34,qaanaaq,44,GL,1584401423,46,77.48,-69.36,-5.17,7.14
35,goderich,100,CA,1584401423,87,43.75,-81.72,39.99,1.01
36,yellowknife,75,CA,1584401201,48,62.46,-114.35,-4.0,8.05
37,noumea,75,NC,1584401423,69,-22.28,166.46,82.4,8.05
38,soyo,100,AO,1584401424,86,-6.13,12.37,79.79,2.93
39,zabol,58,AF,1584401424,70,32.25,67.25,44.38,9.75
40,punta arenas,40,CL,1584401207,50,-53.15,-70.92,51.8,28.86
41,yantal,100,RU,1584401424,92,56.85,105.25,27.09,16.35
42,beringovskiy,100,RU,1584401424,96,63.05,179.32,31.42,21.92
43,peleduy,100,RU,1584401424,97,59.63,112.74,26.62,6.35
44,bengkulu,100,ID,1584401210,83,-3.8,102.27,76.3,2.75
45,chokurdakh,0,RU,1584401424,87,70.63,147.92,-12.95,1.74
46,guerrero negro,39,MX,1584401274,64,27.98,-114.06,62.46,17.47
47,urengoy,95,RU,1584401424,94,65.97,78.37,4.24,18.7
48,bluff,80,NZ,1584401425,77,-46.6,168.33,54.0,1.99
49,hobart,73,AU,1584401335,58,-42.88,147.33,66.0,12.75
50,khuzdar,16,PK,1584401425,47,27.74,66.64,53.8,2.04
51,saskylakh,67,RU,1584401425,93,71.92,114.08,-31.09,13.6
52,jumla,0,NP,1584401425,35,29.27,82.18,28.4,5.91
53,anadyr,40,RU,1584401425,92,64.75,177.48,28.4,35.79
54,wattegama,34,LK,1584401425,96,6.8,81.48,72.91,4.5
55,tonantins,100,BR,1584401425,97,-2.87,-67.8,75.24,1.39
56,nikolskoye,42,RU,1584401425,88,59.7,30.79,32.0,4.47
57,saint-leu,75,RE,1584401426,88,-21.15,55.28,75.2,6.93
58,nouadhibou,70,MR,1584401426,72,20.93,-17.03,64.4,21.92
59,saint george,1,US,1584401166,45,37.1,-113.58,66.99,13.87
60,sabha,0,LY,1584401426,32,27.04,14.43,64.63,12.48
61,waipawa,100,NZ,1584401426,58,-41.41,175.52,57.2,33.33
62,victoria point,20,AU,1584401426,53,-27.58,153.3,78.01,12.75
63,brae,98,GB,1584401426,87,60.4,-1.35,44.6,21.92
64,abu dhabi,0,AE,1584401426,73,24.47,54.37,75.0,4.7
65,kaitangata,100,NZ,1584401426,58,-46.28,169.85,50.95,8.19
66,albany,1,US,1584401419,26,42.6,-73.97,42.8,6.93
67,puerto ayora,20,EC,1584401426,66,-0.74,-90.35,84.2,9.17
68,itaituba,55,BR,1584401427,78,-4.28,-55.98,77.65,1.7
69,rikitea,56,PF,1584401427,79,-23.12,-134.97,81.07,12.33
70,cherskiy,99,RU,1584401427,81,68.75,161.3,21.96,19.64
71,hovd,100,MN,1584401330,24,48.01,91.64,30.87,7.2
72,butaritari,82,KI,1584401427,77,3.07,172.79,83.89,11.95
73,maraa,100,BR,1584401427,98,-1.83,-65.37,75.58,1.68
74,busselton,6,AU,1584401427,66,-33.65,115.33,64.99,17.65
75,avarua,100,CK,1584401428,74,-21.21,-159.78,84.2,14.99
76,syedove,0,UA,1584401428,51,47.08,38.16,37.47,6.58
77,bethel,90,US,1584401303,64,41.37,-73.41,41.0,10.29
78,meru,71,KE,1584401428,86,0.05,37.66,50.2,3.62
79,kungurtug,100,RU,1584401428,70,50.6,97.52,19.06,1.32
80,karema,99,TZ,1584401429,81,-6.82,30.44,74.17,3.29
81,lucea,20,JM,1584401429,57,18.45,-78.17,80.6,14.99
82,alofi,75,NU,1584401264,74,-19.06,-169.92,86.0,8.05
83,lawrenceburg,90,US,1584401429,70,38.04,-84.9,48.2,4.7
84,strelka,100,RU,1584401430,88,58.07,93.03,17.47,15.68
85,los llanos de aridane,20,ES,1584401430,59,28.66,-17.92,64.4,20.8
86,itoman,40,JP,1584401431,63,26.12,127.67,60.8,4.7
87,hermanus,36,ZA,1584401431,71,-34.42,19.23,66.99,10.0
88,krutinka,100,RU,1584401431,93,56.01,71.51,28.17,11.83
89,nortelandia,97,BR,1584401431,92,-14.45,-56.8,74.32,2.48
90,vila franca do campo,20,PT,1584401431,82,37.72,-25.43,57.2,3.36
91,hithadhoo,43,MV,1584401431,70,-0.6,73.08,83.88,7.43
92,atuona,37,PF,1584401432,66,-9.8,-139.03,82.4,8.59
93,dana point,90,US,1584401428,62,33.47,-117.7,63.0,12.75
94,vao,36,NC,1584401432,75,-22.67,167.48,78.06,11.48
95,klaksvik,55,FO,1584401432,75,62.23,-6.59,41.0,5.82
96,riyadh,0,SA,1584401409,52,24.69,46.72,64.4,6.49
97,kondinskoye,16,RU,1584401432,92,59.65,67.41,16.09,8.59
98,inhambane,29,MZ,1584401432,78,-23.86,35.38,77.86,16.24
99,luderitz,0,NA,1584401432,88,-26.65,15.16,64.4,8.05
100,tasiilaq,100,GL,1584401432,78,65.61,-37.64,12.2,4.7
101,lebu,87,CL,1584401432,79,-37.62,-73.65,58.26,9.44
102,chuy,0,UY,1584401433,70,-33.7,-53.46,64.65,8.72
103,saint-augustin,0,CA,1584401433,82,51.23,-58.65,12.99,12.57
104,rundu,90,NA,1584401433,100,-17.93,19.77,69.8,6.93
105,mar del plata,0,AR,1584401433,77,-38.0,-57.56,66.0,9.17
106,tuktoyaktuk,90,CA,1584401433,92,69.45,-133.04,15.8,21.92
107,santa isabel,75,BR,1584401433,78,-23.32,-46.22,82.0,8.05
108,ocampo,89,MX,1584401433,57,21.65,-101.5,63.0,11.83
109,the valley,40,AI,1584401202,69,18.22,-63.06,80.6,6.93
110,ancud,90,CL,1584401433,87,-41.87,-73.82,59.0,9.17
111,rawson,68,AR,1584401433,51,-43.3,-65.1,69.85,8.23
112,port-gentil,40,GA,1584401434,88,-0.72,8.78,82.4,6.93
113,cape town,0,ZA,1584401235,60,-33.93,18.42,68.0,17.22
114,tucuman,90,AR,1584401434,94,-26.82,-65.22,68.0,3.36
115,vilyuysk,95,RU,1584401434,94,63.76,121.62,4.17,8.66
116,pisco,20,PE,1584401434,30,-13.7,-76.22,78.01,23.04
117,aksu,56,CN,1584401434,30,41.12,80.26,41.27,4.7
118,buraydah,0,SA,1584401420,63,26.33,43.98,62.6,6.93
119,ossora,100,RU,1584401434,97,59.24,163.07,30.38,5.95
120,mount isa,23,AU,1584401434,39,-20.73,139.5,82.4,5.82
121,ponta do sol,75,PT,1584401434,51,32.67,-17.1,60.8,19.46
122,adrar,73,MR,1584401434,18,20.5,-10.07,67.46,8.75
123,dikson,100,RU,1584401434,93,73.51,80.55,1.04,30.56
124,sanming,78,CN,1584401434,81,26.25,117.62,54.21,2.1
125,waharoa,100,NZ,1584401435,48,-37.77,175.77,69.01,12.77
126,kodiak,75,US,1584401435,80,57.79,-152.41,39.2,4.7
127,plymouth,1,US,1584401435,63,41.83,-70.83,35.01,8.05
128,kudahuvadhoo,1,MV,1584401435,75,2.67,72.89,83.19,11.43
129,oktyabrskoye,100,RU,1584401435,96,43.06,44.74,24.94,4.07
130,talakan,100,RU,1584401435,92,50.32,130.37,15.17,2.98
131,shakawe,89,BW,1584401435,88,-18.37,21.85,65.55,4.09
132,boyuibe,75,BO,1584401435,88,-20.42,-63.28,73.4,1.3
133,madang,100,PG,1584401435,74,-5.22,145.8,81.7,8.32
134,paramonga,60,PE,1584401435,89,-10.67,-77.83,72.46,7.61
135,bubaque,84,GW,1584401435,63,11.28,-15.83,80.53,22.26
136,swidnik,83,PL,1584401435,67,51.22,22.7,37.9,12.15
137,poyarkovo,100,RU,1584401436,81,49.6,128.68,20.43,7.49
138,vaini,40,TO,1584401436,74,-21.2,-175.2,87.8,18.34
139,sao fidelis,11,BR,1584401436,78,-21.65,-41.75,78.8,11.41
140,biloela,0,AU,1584401436,56,-24.42,150.5,74.34,17.9
141,maragogi,100,BR,1584401436,76,-9.01,-35.22,83.35,13.91
142,waingapu,0,ID,1584401436,68,-9.66,120.26,84.47,6.51
143,egvekinot,100,RU,1584401436,95,66.32,-179.17,20.62,7.99
144,puerto baquerizo moreno,20,EC,1584401436,74,-0.9,-89.6,82.4,5.82
145,svetlaya,50,RU,1584401436,64,46.54,138.33,26.87,14.12
146,red wing,90,US,1584401436,69,44.56,-92.53,39.99,8.05
147,arraial do cabo,0,BR,1584401436,86,-22.97,-42.03,78.57,22.28
148,mugur-aksy,100,RU,1584401436,59,50.35,90.5,14.68,6.76
149,lagoa,0,PT,1584401437,81,39.05,-27.98,62.11,9.22
150,souillac,75,MU,1584401437,88,-20.52,57.52,77.0,10.29
151,mitchell,90,US,1584401437,64,43.71,-98.03,37.4,12.75
152,doha,28,QA,1584401437,73,25.29,51.53,73.0,4.7
153,norfolk,1,US,1584401407,47,42.17,-71.25,35.01,6.93
154,ust-kuyga,94,RU,1584401437,84,70.02,135.6,-1.08,4.41
155,onega,36,RU,1584401437,75,63.91,38.14,27.41,18.12
156,aykhal,100,RU,1584401437,83,66.0,111.5,-4.0,4.47
157,sur,0,OM,1584401437,71,22.57,59.53,65.16,4.94
158,celestun,1,MX,1584401437,82,20.87,-90.4,77.18,23.47
159,langsa,78,ID,1584401437,93,4.47,97.97,75.25,3.27
160,estelle,40,US,1584401438,73,29.85,-90.11,78.01,10.29
161,dole,77,FR,1584401438,87,47.08,5.5,46.4,3.36
162,teya,100,RU,1584401438,82,60.38,92.63,6.84,12.93
163,dichiseni,0,RO,1584401438,46,44.23,27.53,35.01,1.01
164,rio grande,19,BR,1584401438,79,-32.03,-52.1,70.0,1.99
165,lata,20,PT,1584401438,66,40.16,-8.33,54.0,19.46
166,victoria,20,HK,1584401403,77,22.29,114.16,70.0,20.8
167,olga,0,RU,1584401438,63,43.74,135.29,29.53,3.36
168,baruun-urt,0,MN,1584401438,79,46.68,113.28,22.86,11.03
169,ipora,9,BR,1584401438,94,-16.44,-51.12,71.28,2.1
170,praxedis guerrero,1,MX,1584401438,12,31.37,-106.02,78.8,10.29
171,burns lake,34,CA,1584401439,65,54.23,-125.75,36.86,2.91
172,flin flon,40,CA,1584401439,48,54.77,-101.86,17.6,18.34
173,marawi,9,PH,1584401439,82,8.0,124.29,75.0,5.99
174,tupik,60,RU,1584401439,89,54.43,119.93,16.72,4.14
175,chukhloma,96,RU,1584401439,71,58.75,42.68,31.06,9.06
176,harper,89,LR,1584401439,92,4.38,-7.72,77.09,4.05
177,morondava,0,MG,1584401439,96,-20.28,44.28,72.1,1.66
178,iqaluit,90,CA,1584401439,77,63.75,-68.51,5.0,11.41
179,new norfolk,93,AU,1584401440,58,-42.78,147.06,64.0,12.75
180,coihaique,75,CL,1584401194,55,-45.58,-72.07,62.6,8.05
181,leeuwarden,0,NL,1584401440,100,53.2,5.81,44.6,5.82
182,maniitsoq,7,GL,1584401440,73,65.42,-52.9,0.86,15.19
183,tabas,0,IR,1584401440,71,33.6,56.92,57.2,4.7
184,shingu,36,JP,1584401440,48,33.73,135.98,44.6,3.36
185,troitsko-pechorsk,100,RU,1584401440,91,62.71,56.2,21.87,10.94
186,lakes entrance,19,AU,1584401440,68,-37.88,147.98,66.99,6.06
187,vanimo,100,PG,1584401440,86,-2.67,141.3,78.58,7.23
188,south lake tahoe,90,US,1584401440,93,38.93,-119.98,43.0,5.61
189,andenes,75,NO,1584401440,72,69.31,16.12,32.0,14.99
190,evensk,100,RU,1584401441,97,61.95,159.23,28.96,8.01
191,broome,90,US,1584401441,33,42.25,-75.83,46.99,9.17
192,sivaki,100,RU,1584401441,96,52.63,126.75,24.46,4.27
193,nichinan,75,JP,1584401441,61,31.6,131.37,50.0,13.87
194,port lincoln,71,AU,1584401441,26,-34.73,135.87,81.18,14.7
195,tuatapere,8,NZ,1584401441,77,-46.13,167.68,54.0,1.99
196,dzhebariki-khaya,96,RU,1584401441,84,62.22,135.8,-1.23,0.72
197,shahdol,90,IN,1584401441,47,23.28,81.35,63.45,3.2
198,dubai,0,AE,1584401267,68,25.26,55.3,73.0,6.93
199,abnub,0,EG,1584401441,63,27.27,31.15,62.6,6.93
200,killybegs,100,IE,1584401441,90,54.63,-8.45,45.0,8.99
201,kameno,0,BG,1584401442,62,42.57,27.3,34.0,3.36
202,pokaran,0,IN,1584401442,33,26.92,71.92,68.72,8.34
203,kavaratti,63,IN,1584401442,71,10.57,72.64,82.11,8.7
204,touros,75,BR,1584401442,94,-5.2,-35.46,78.8,2.24
205,alice springs,0,AU,1584401177,27,-23.7,133.88,75.2,15.52
206,abu samrah,0,SY,1584401442,89,35.3,37.18,51.04,5.59
207,provideniya,90,RU,1584401442,86,64.38,-173.3,28.4,13.42
208,muros,40,ES,1584401442,81,42.78,-9.06,52.0,9.17
209,upernavik,25,GL,1584401442,54,72.79,-56.15,-18.29,8.66
210,saldanha,0,ZA,1584401442,49,-33.01,17.94,71.6,8.05
211,borgarnes,90,IS,1584401442,86,64.54,-21.92,34.0,6.93
212,kaputa,100,ZM,1584401443,94,-8.47,29.66,66.79,0.81
213,tiksi,100,RU,1584401443,97,71.69,128.87,-1.5,3.4
214,harmanli,5,BG,1584401443,79,41.93,25.9,37.0,4.7
215,cabatuan,0,PH,1584401443,74,10.88,122.49,77.2,9.98
216,leh,100,IN,1584401233,36,34.17,77.58,12.4,0.81
217,brigantine,90,US,1584401443,65,39.41,-74.36,45.0,10.29
218,clyde river,20,CA,1584401443,68,70.47,-68.59,-16.6,9.17
219,ixtapa,75,MX,1584401388,69,20.7,-105.2,78.8,11.41
220,aklavik,75,CA,1584401443,79,68.22,-135.01,26.6,21.92
221,longyearbyen,20,SJ,1584401443,68,78.22,15.64,-16.6,3.36
222,kieta,66,PG,1584401443,68,-6.22,155.63,83.14,2.51
223,karabulak,90,RU,1584401444,86,43.3,44.9,33.8,2.93
224,nuevo progreso,100,MX,1584401444,79,23.17,-97.95,80.01,5.01
225,hilo,20,US,1584401444,54,19.73,-155.09,82.4,17.22
226,sheopur,97,IN,1584401444,41,25.67,76.7,64.06,4.0
227,ribeira grande,38,PT,1584401444,87,38.52,-28.7,58.32,12.12
228,praia,75,CV,1584401202,64,14.92,-23.51,71.6,16.11
229,boyolangu,79,ID,1584401444,88,-8.12,111.89,77.31,0.6
230,gizo,86,SB,1584401444,69,-8.1,156.84,83.64,3.98
231,port alberni,5,CA,1584401403,42,49.24,-124.8,55.99,4.7
232,tura,33,IN,1584401444,43,25.52,90.22,64.69,2.71
233,high prairie,37,CA,1584401444,93,55.43,-116.49,27.09,4.12
234,cururupu,98,BR,1584401444,97,-1.83,-44.87,74.5,2.35
235,agirish,8,RU,1584401445,89,61.92,63.02,20.53,12.26
236,kampot,40,KH,1584401445,78,10.62,104.18,80.6,2.24
237,chapais,90,CA,1584401445,48,49.78,-74.85,19.4,13.87
238,lafiagi,100,NG,1584401445,11,8.87,5.42,83.19,3.42
239,oga,28,IT,1584401445,85,46.46,10.35,37.99,2.24
240,pringsewu,97,ID,1584401445,94,-5.36,104.97,73.29,2.15
241,berlevag,85,NO,1584401445,76,70.86,29.09,26.4,41.14
242,comodoro rivadavia,40,AR,1584401445,53,-45.87,-67.5,71.6,11.41
243,malpe,67,IN,1584401445,74,13.35,74.72,78.8,3.36
244,torbay,20,CA,1584401445,62,47.67,-52.73,19.99,8.5
245,kropotkin,23,RU,1584401446,53,45.44,40.58,30.0,5.88
246,pevek,100,RU,1584401446,76,69.7,170.31,25.68,26.49
247,camacupa,88,AO,1584401446,95,-12.02,17.48,62.87,2.17
248,merrill,90,US,1584401298,92,45.18,-89.68,35.01,4.7
249,hami,0,CN,1584401446,25,42.8,93.45,38.89,3.42
250,hofn,93,IS,1584401446,80,64.25,-15.21,39.69,41.72
251,mo i rana,100,NO,1584401446,89,66.31,14.14,17.92,4.12
252,paamiut,2,GL,1584401446,54,61.99,-49.67,-3.1,8.61
253,tabursuq,40,TN,1584401165,82,36.46,9.25,60.8,11.41
254,namatanai,83,PG,1584401446,70,-3.67,152.43,84.13,2.86
255,eydhafushi,43,MV,1584401446,79,5.1,73.07,82.99,13.04
256,puerto quijarro,38,BO,1584401447,92,-17.78,-57.77,76.23,4.61
257,novobirilyussy,100,RU,1584401447,84,56.95,90.67,22.01,12.75
258,hargeysa,10,SO,1584401447,87,9.56,44.06,65.17,1.43
259,teterow,0,DE,1584401447,93,53.78,12.57,37.99,2.24
260,barguzin,100,RU,1584401447,90,53.62,109.62,28.47,11.34
261,yerbogachen,100,RU,1584401447,95,61.28,108.01,26.87,9.24
262,yulara,0,AU,1584401447,13,-25.24,130.99,78.8,11.41
263,villanueva,40,HN,1584401447,62,15.32,-88.0,84.2,12.75
264,west monroe,1,US,1584401447,60,32.52,-92.15,69.8,5.82
265,komatipoort,100,ZA,1584401447,77,-25.43,31.95,68.0,1.01
266,port hardy,5,CA,1584401378,52,50.7,-127.42,46.4,4.7
267,guaruja,75,BR,1584401448,60,-23.99,-46.26,82.0,8.05
268,san cristobal,40,VE,1584401448,54,7.77,-72.22,84.2,5.82
269,akdepe,59,TM,1584401448,65,42.06,59.38,46.4,6.93
270,moerai,100,PF,1584401448,78,-22.43,-151.33,80.91,16.71
271,ramnagar,0,IN,1584401448,71,29.4,79.12,57.02,3.91
272,pagudpud,75,PH,1584401448,78,18.56,120.79,71.6,3.36
273,margate,0,GB,1584401448,80,51.38,1.39,45.0,8.05
274,mehamn,100,NO,1584401448,81,71.04,27.85,21.51,33.49
275,mahebourg,75,MU,1584401449,88,-20.41,57.7,77.0,10.29
276,itarema,100,BR,1584401449,89,-2.92,-39.92,75.43,0.63
277,khorramabad,25,IR,1584401449,83,33.49,48.36,43.45,1.7
278,faanui,17,PF,1584401449,72,-16.48,-151.75,83.28,7.9
